ASN;Info
AS201;CENTURYLINK-LEGACY-LVLT-201, US
AS202;CENTURYLINK-LEGACY-LVLT-202, US
AS203;CENTURYLINK-LEGACY-LVLT-203, US
AS204;PSCNET-AS, US
AS205;MONTCLAIR-AS, US
AS206;CSC-IGN-AMER-AS206, US
AS207;CLI-GW-AS, US
AS208;DNIC-AS-00208, US
AS209;CENTURYLINK-US-LEGACY-QWEST, US
AS210;WEST-NET-WEST, US
AS211;RADC-LONS-GW-AS, US
AS212;HQAFSC-LONS-GW-AS, US
AS213;DNIC-AS-00213, US
AS214;DNIC-AS-00214, US
AS215;DNIC-AS-00215, US
AS216;LMSC-HOSTNET-AS, US
AS217;UMN-SYSTEM, US
AS218;AFOTECPCNET-AS, US
AS219;DNIC-AS-00219, US
AS220;OOALC-HOSTNET-AS, US
AS221;WRALC-HOSTNET-AS, US
AS222;SMALC-HOSTNET-AS, US
AS223;AS223, US
AS224;UNINETT UNINETT, The Norwegian University & Research Network, NO
AS225;VIRGINIA-AS, US
AS226;LOS-NETTOS-AS, US
AS227;DNIC-AS-00227, US
AS228;DNIC-AS-00228, US
AS229;MERIT-AS-6, US
AS230;MERIT-AS-7, US
AS231;MISU-231, US
AS232;MERIT-AS-9, US
AS233;MERIT-AS-10, US
AS234;NETHER-RESEARCH, US
AS235;MERIT-AS-12, US
AS236;MERIT-AS-13, US
AS237;MERIT-AS-14, US
AS238;MERIT-AS-15, US
AS239;UTORONTO-AS, CA
AS240;SAALC-HOSTNET-AS, US
AS241;OCALC-HOSTNET-AS, US
AS242;SSSD-AS, US
AS243;HARRIS-ATD-AS, US
AS244;DNIC-AS-00244, US
AS245;PRC-AS, US
AS246;ASIFICS-GW-AS, US
AS247;ROMENET-AS, US
AS248;IDDQD-AS IDDQD-AS, EU
AS249;PETERCOM-AS AS249, EU
AS250;SACREDCHAO-AS AS250.net Foundation, EU
AS251;DENISKLIMEK-AS Denis Klimek, EU
AS252;DNIC-AS-00252, US
AS253;NTTA-253, US
AS254;TWG-NET-AS, US
AS255;PAFB-GW, US
AS256;DNIC-AS-00256, US
AS257;DNIC-AS-00257, US
AS258;BRAGGSRI-EGP-AS, US
AS259;SCUBED-AS, US
AS260;XCONNECT24, US
AS261;FR-CINES-MONTPELLIER FR, EU
AS262;VERIO, US
AS263;NTTA-263, US
AS264;SRINET-AS, US
AS265;DSI-WR-16, US
AS266;DHC-USA-INC, US
AS267;NETHER-NET, US
AS268;USUHSNET-AS, US
AS269;INCSYS-AS, US
AS270;AS270, US
AS271;BCNET-AS, CA
AS272;CTNOSC-ASN-272, US
AS273;DNIC-AS-00273, US
AS274;AINET-AS274, US
AS275;NTTA-275, US
AS276;OTS-AS-276, US
AS277;CSC-300-AS277, US
AS278;Universidad Nacional Autonoma de Mexico, MX
AS279;LVLT-279, US
AS280;NTTA-280, US
AS281;LVLT-281, US
AS282;MERIT-AUX-AS, US
AS283;MPOWERLABS, US
AS284;UUNET-IPV6, US
AS285;DNIC-AS-00285, US
AS286;KPN, NL
AS287;DNIC-AS-00287, US
AS288;ESA Robert Bosch Strasse 5, DE
AS289;DNIC-AS-00289, US
AS290;SHOWNET-AS, US
AS291;ESNET-EAST, US
AS292;ESNET-WEST, US
AS293;ESNET, US
AS294;FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique, EU
AS295;USTCCLOUD, US
AS296;ACFP-AS, US
AS297;AS297, US
AS298;RADC-LONEX-AS, US
AS299;UCINET-AS, US
AS300;DNIC-AS-00300, US
AS301;C3PO-AS, US
AS302;BCM-INFO-NET-AS, US
AS303;DNIC-AS-00303, US
AS304;SRIEXPRIGNET-AS, US
AS305;DNIC-AS-00305, US
AS306;DNIC-ASBLK-00306-00371, US
AS307;DNIC-ASBLK-00306-00371, US
AS308;DNIC-ASBLK-00306-00371, US
AS309;DNIC-ASBLK-00306-00371, US
AS310;DNIC-ASBLK-00306-00371, US
AS311;DNIC-ASBLK-00306-00371, US
AS312;DNIC-ASBLK-00306-00371, US
AS313;DNIC-ASBLK-00306-00371, US
AS314;DNIC-ASBLK-00306-00371, US
AS315;DNIC-ASBLK-00306-00371, US
AS316;DNIC-ASBLK-00306-00371, US
AS317;DNIC-ASBLK-00306-00371, US
AS318;DNIC-ASBLK-00306-00371, US
AS319;DNIC-ASBLK-00306-00371, US
AS320;DNIC-ASBLK-00306-00371, US
AS321;DNIC-ASBLK-00306-00371, US
AS322;DNIC-ASBLK-00306-00371, US
AS323;DNIC-ASBLK-00306-00371, US
AS324;DNIC-ASBLK-00306-00371, US
AS325;DNIC-ASBLK-00306-00371, US
AS326;DNIC-ASBLK-00306-00371, US
AS327;DNIC-ASBLK-00306-00371, US
AS328;DNIC-ASBLK-00306-00371, US
AS329;DNIC-ASBLK-00306-00371, US
AS330;DNIC-ASBLK-00306-00371, US
AS331;DNIC-ASBLK-00306-00371, US
AS332;DNIC-ASBLK-00306-00371, US
AS333;DNIC-ASBLK-00306-00371, US
AS334;DNIC-ASBLK-00306-00371, US
AS335;DNIC-ASBLK-00306-00371, US
AS336;DNIC-ASBLK-00306-00371, US
AS337;DNIC-ASBLK-00306-00371, US
AS338;DNIC-ASBLK-00306-00371, US
AS339;DNIC-ASBLK-00306-00371, US
AS340;DNIC-ASBLK-00306-00371, US
AS341;DNIC-ASBLK-00306-00371, US
AS342;DNIC-ASBLK-00306-00371, US
AS343;DNIC-ASBLK-00306-00371, US
AS344;DNIC-ASBLK-00306-00371, US
AS345;DNIC-ASBLK-00306-00371, US
AS346;DNIC-ASBLK-00306-00371, US
AS347;DNIC-ASBLK-00306-00371, US
AS348;DNIC-ASBLK-00306-00371, US
AS349;DNIC-ASBLK-00306-00371, US
AS350;DNIC-ASBLK-00306-00371, US
AS351;DNIC-ASBLK-00306-00371, US
AS352;DNIC-ASBLK-00306-00371, US
AS353;DNIC-ASBLK-00306-00371, US
AS354;DNIC-ASBLK-00306-00371, US
AS355;DNIC-ASBLK-00306-00371, US
AS356;DNIC-ASBLK-00306-00371, US
AS357;DNIC-ASBLK-00306-00371, US
AS358;DNIC-ASBLK-00306-00371, US
AS359;DNIC-ASBLK-00306-00371, US
AS360;DNIC-ASBLK-00306-00371, US
AS361;DNIC-ASBLK-00306-00371, US
AS362;DNIC-ASBLK-00306-00371, US
AS363;DNIC-ASBLK-00306-00371, US
AS364;DNIC-ASBLK-00306-00371, US
AS365;DNIC-ASBLK-00306-00371, US
AS366;DNIC-ASBLK-00306-00371, US
AS367;DNIC-ASBLK-00306-00371, US
AS368;DNIC-ASBLK-00306-00371, US
AS369;DNIC-ASBLK-00306-00371, US
AS370;DNIC-ASBLK-00306-00371, US
AS371;DNIC-ASBLK-00306-00371, US
AS372;AS372, US
AS373;MITRE-AS-4, US
AS374;BROOKS-AS, US
AS375;TIETOTIE-AS P.O.Box 38. FI-00441 Helsinki Finland., FI
AS376;RISQ-AS, CA
AS377;SNLA-NET-AS, US
AS378;MACHBA-AS ILAN, IL
AS379;AFCONC-BLOCK1-AS, US
AS380;AFCONC-BLOCK1-AS, US
AS381;AFCONC-BLOCK1-AS, US
AS382;AFCONC-BLOCK1-AS, US
AS383;AFCONC-BLOCK1-AS, US
AS384;AFCONC-BLOCK1-AS, US
AS385;AFCONC-BLOCK1-AS, US
AS386;AFCONC-BLOCK1-AS, US
AS387;AFCONC-BLOCK1-AS, US
AS388;AFCONC-BLOCK1-AS, US
AS389;AFCONC-BLOCK1-AS, US
AS390;AFCONC-BLOCK1-AS, US
AS391;AFCONC-BLOCK1-AS, US
AS392;AFCONC-BLOCK1-AS, US
AS393;AFCONC-BLOCK1-AS, US
AS394;AFCONC-BLOCK1-AS, US
AS395;AFCONC-BLOCK1-AS, US
AS396;AFCONC-BLOCK1-AS, US
AS397;AFCONC-BLOCK1-AS, US
AS398;AFCONC-BLOCK1-AS, US
AS399;AFCONC-BLOCK1-AS, US
AS400;AFCONC-BLOCK1-AS, US
AS401;AFCONC-BLOCK1-AS, US
AS402;AFCONC-BLOCK1-AS, US
AS403;AFCONC-BLOCK1-AS, US
AS404;AFCONC-BLOCK1-AS, US
AS405;AFCONC-BLOCK1-AS, US
AS406;AFCONC-BLOCK1-AS, US
AS407;AFCONC-BLOCK1-AS, US
AS408;AFCONC-BLOCK1-AS, US
AS409;AFCONC-BLOCK1-AS, US
AS410;AFCONC-BLOCK1-AS, US
AS411;AFCONC-BLOCK1-AS, US
AS412;AFCONC-BLOCK1-AS, US
AS413;AFCONC-BLOCK1-AS, US
AS414;AFCONC-BLOCK1-AS, US
AS415;AFCONC-BLOCK1-AS, US
AS416;AFCONC-BLOCK1-AS, US
AS417;AFCONC-BLOCK1-AS, US
AS418;AFCONC-BLOCK1-AS, US
AS419;AFCONC-BLOCK1-AS, US
AS420;AFCONC-BLOCK1-AS, US
AS421;AFCONC-BLOCK1-AS, US
AS422;AFCONC-BLOCK1-AS, US
AS423;AFCONC-BLOCK1-AS, US
AS424;AFCONC-BLOCK1-AS, US
AS425;AFCONC-BLOCK1-AS, US
AS426;AFCONC-BLOCK1-AS, US
AS427;AFCONC-BLOCK1-AS, US
AS428;AFCONC-BLOCK1-AS, US
AS429;AFCONC-BLOCK1-AS, US
AS430;AFCONC-BLOCK1-AS, US
AS431;AFCONC-BLOCK1-AS, US
AS432;AFCONC-BLOCK1-AS, US
AS433;AFCONC-BLOCK1-AS, US
AS434;AFCONC-BLOCK1-AS, US
AS435;AFCONC-BLOCK1-AS, US
AS436;AFCONC-BLOCK1-AS, US
AS437;AFCONC-BLOCK1-AS, US
AS438;AFCONC-BLOCK1-AS, US
AS439;AFCONC-BLOCK1-AS, US
AS440;AFCONC-BLOCK1-AS, US
AS441;AFCONC-BLOCK1-AS, US
AS442;AFCONC-BLOCK1-AS, US
AS443;AFCONC-BLOCK1-AS, US
AS444;AFCONC-BLOCK1-AS, US
AS445;AFCONC-BLOCK1-AS, US
AS446;AFCONC-BLOCK1-AS, US
AS447;AFCONC-BLOCK1-AS, US
AS448;AFCONC-BLOCK1-AS, US
AS449;AFCONC-BLOCK1-AS, US
AS450;AFCONC-BLOCK1-AS, US
AS451;AFCONC-BLOCK1-AS, US
AS452;AFCONC-BLOCK1-AS, US
AS453;AFCONC-BLOCK1-AS, US
AS454;AFCONC-BLOCK1-AS, US
AS455;AFCONC-BLOCK1-AS, US
AS456;AFCONC-BLOCK1-AS, US
AS457;AFCONC-BLOCK1-AS, US
AS458;AFCONC-BLOCK1-AS, US
AS459;AFCONC-BLOCK1-AS, US
AS460;AFCONC-BLOCK1-AS, US
AS461;AFCONC-BLOCK1-AS, US
AS462;AFCONC-BLOCK1-AS, US
AS463;AFCONC-BLOCK1-AS, US
AS464;AFCONC-BLOCK1-AS, US
AS465;AFCONC-BLOCK1-AS, US
AS466;AFCONC-BLOCK1-AS, US
AS467;AFCONC-BLOCK1-AS, US
AS468;AFCONC-BLOCK1-AS, US
AS469;AFCONC-BLOCK1-AS, US
AS470;AFCONC-BLOCK1-AS, US
AS471;AFCONC-BLOCK1-AS, US
AS472;AFCONC-BLOCK1-AS, US
AS473;AFCONC-BLOCK1-AS, US
AS474;AFCONC-BLOCK1-AS, US
AS475;AFCONC-BLOCK1-AS, US
AS476;AFCONC-BLOCK1-AS, US
AS477;AFCONC-BLOCK1-AS, US
AS478;AFCONC-BLOCK1-AS, US
AS479;AFCONC-BLOCK1-AS, US
AS480;AFCONC-BLOCK1-AS, US
AS481;AFCONC-BLOCK1-AS, US
AS482;AFCONC-BLOCK1-AS, US
AS483;AFCONC-BLOCK1-AS, US
AS484;AFCONC-BLOCK1-AS, US
AS485;AFCONC-BLOCK1-AS, US
AS486;AFCONC-BLOCK1-AS, US
AS487;AFCONC-BLOCK1-AS, US
AS488;AFCONC-BLOCK1-AS, US
AS489;AFCONC-BLOCK1-AS, US
AS490;AFCONC-BLOCK1-AS, US
AS491;AFCONC-BLOCK1-AS, US
AS492;AFCONC-BLOCK1-AS, US
AS493;AFCONC-BLOCK1-AS, US
AS494;AFCONC-BLOCK1-AS, US
AS495;AFCONC-BLOCK1-AS, US
AS496;AFCONC-BLOCK1-AS, US
AS497;AFCONC-BLOCK1-AS, US
AS498;AFCONC-BLOCK1-AS, US
AS499;AFCONC-BLOCK1-AS, US
AS500;AFCONC-BLOCK1-AS, US
AS501;AFCONC-BLOCK1-AS, US
AS502;AFCONC-BLOCK1-AS, US
AS503;AFCONC-BLOCK1-AS, US
AS504;AFCONC-BLOCK1-AS, US
AS505;AFCONC-BLOCK1-AS, US
AS506;AFCONC-BLOCK1-AS, US
AS507;AFCONC-BLOCK1-AS, US
AS508;AFCONC-BLOCK1-AS, US
AS509;DNIC-AS-00509, US
AS510;INTERNET, US
AS511;SCOEC-ASN, US
AS512;DNIC-AS-00512, US
AS513;CERN, CH
AS514;DSADC-MECH, US
AS515;DNIC-AS-00515, US
AS516;KODAK-BTC, US
AS517;Darmstaedter Landstrasse 184, NL
AS518;DNIC-AS-00518, US
AS519;ISCNET, US
AS520;COINSDISNET3, US
AS521;FORD-SRL-AS, US
AS522;AFSC-SSD-AS, US
AS523;DNIC-AS-00523, US
AS524;LVLT-524, US
AS525;CTNOSC-525-AS, US
AS526;DNIC-AS-00526, US
AS527;DNIC-AS-00527, US
AS528;AUGSBURG-GW1-AS CDOIM Augsburg, EU
AS529;BURTONWOOD-GW1-AS CDOIM Burtonwood Information Center, EU
AS530;DNIC-AS-00530, US
AS531;DNIC-AS-00531, US
AS532;DNIC-AS-00532, US
AS533;DNIC-AS-00533, US
AS534;DNIC-AS-00534, US
AS535;DNIC-AS-00535, US
AS536;DNIC-AS-00536, US
AS537;DNIC-AS-00537, US
AS538;DNIC-AS-00538, US
AS539;DNIC-AS-00539, US
AS540;DNIC-AS-00540, US
AS541;IGAUTON, US
AS542;ARNET, CA
AS543;HP-POLYCOM, US
AS544;TELIA-INTERNATIONAL-NETWORK Telia Finland Oyj, EU
AS545;NRI, US
AS546;PARSONS-PGS-1, US
AS547;ASN-IBM-LEX, US
AS548;HQUSAF-AS, US
AS549;GTANET-AS, CA
AS550;CORNETT-AS, US
AS551;AS551, US
AS552;DNIC-AS-00552, US
AS553;BELWUE BelWue-Koordination, DE
AS554;CALINET-AS, US
AS555;VTSII, US
AS556;CALREN-AS, US
AS557;UMAINE-SYS-AS, US
AS558;NNEXT, US
AS559;SWITCH Peering requests: peering@switch.ch, CH
AS560;LVLT-560, US
AS561;HPINC, US
AS562;3COM-B, US
AS563;3COM-C, US
AS564;DNIC-AS-00564, US
AS565;VTT-AS VTT autonomous system, FI
AS566;SSC-299-Z-566, CA
AS567;ASN-LNET-AS, US
AS568;DNIC-AS-00568, US
AS569;DNIC-AS-00569, US
AS570;SSD-NET-AS, US
AS571;DNIC-AS-00571, US
AS572;GBMC-TOW, US
AS573;DNIC-AS-00573, US
AS574;PSC-TEST-AS, US
AS575;DNIC-AS-00575, US
AS576;DNIC-AS-00576, US
AS577;BACOM, CA
AS578;-Reserved AS-, ZZ
AS579;-Reserved AS-, ZZ
AS580;DNIC-AS-00580, US
AS581;AMC-MAF-C2-ENCLAVES, US
AS582;GDSS-21AF-AS, US
AS583;GDSS-22AF-AS, US
AS584;GDSS-23AF-AS, US
AS585;GDSS-322ALD-AS, US
AS586;GDSS-834ALD-AS, US
AS587;GDSS-ANG-AS, US
AS588;DIRECTRON, US
AS589;UNT-CAMPUS-AS, US
AS590;EASInet Operations Center, EU
AS591;NSTN-AS, CA
AS592;DNIC-AS-00592, US
AS593;EASINET-AS1 Easinet Air Base, EU
AS594;CENTURYLINK-LEGACY-LVLT-594, US
AS595;CENTURYLINK-LEGACY-LVLT-595, US
AS596;CENTURYLINK-LEGACY-LVLT-596, US
AS597;CENTURYLINK-LEGACY-LVLT-597, US
AS598;CENTURYLINK-LEGACY-LVLT-598, US
AS599;NISC-AS, US
AS600;OARNET-AS, US
AS601;BACOM4-AS, CA
AS602;BACOM3-AS, CA
AS603;BACOM2-AS, US
AS604;ONELAMBDA-INC, US
AS605;VHS-CHIL, US
AS606;SCHAT-AS, US
AS607;AS-NICO1, US
AS608;-Reserved AS-, ZZ
AS609;EY-AS-FWT, US
AS610;AS-HERE-US1, US
AS611;NECN-1-611, CA
AS612;AIRFIBER521, US
AS613;BP-AS-613, US
AS614;CSUNET-AS, US
AS615;DNIC-AS-00615, US
AS616;DNIC-ASBLK-00616-00665, US
AS617;DNIC-ASBLK-00616-00665, US
AS618;DNIC-ASBLK-00616-00665, US
AS619;DNIC-ASBLK-00616-00665, US
AS620;DNIC-ASBLK-00616-00665, US
AS621;DNIC-ASBLK-00616-00665, US
AS622;DNIC-ASBLK-00616-00665, US
AS623;DNIC-ASBLK-00616-00665, US
AS624;DNIC-ASBLK-00616-00665, US
AS625;DNIC-ASBLK-00616-00665, US
AS626;DNIC-ASBLK-00616-00665, US
AS627;DNIC-ASBLK-00616-00665, US
AS628;DNIC-ASBLK-00616-00665, US
AS629;DNIC-ASBLK-00616-00665, US
AS630;DNIC-ASBLK-00616-00665, US
AS631;DNIC-ASBLK-00616-00665, US
AS632;DNIC-ASBLK-00616-00665, US
AS633;DNIC-ASBLK-00616-00665, US
AS634;DNIC-ASBLK-00616-00665, US
AS635;DNIC-ASBLK-00616-00665, US
AS636;DNIC-ASBLK-00616-00665, US
AS637;DNIC-ASBLK-00616-00665, US
AS638;DNIC-ASBLK-00616-00665, US
AS639;DNIC-ASBLK-00616-00665, US
AS640;DNIC-ASBLK-00616-00665, US
AS641;DNIC-ASBLK-00616-00665, US
AS642;DNIC-ASBLK-00616-00665, US
AS643;DNIC-ASBLK-00616-00665, US
AS644;DNIC-ASBLK-00616-00665, US
AS645;DNIC-ASBLK-00616-00665, US
AS646;DNIC-ASBLK-00616-00665, US
AS647;DNIC-ASBLK-00616-00665, US
AS648;DNIC-ASBLK-00616-00665, US
AS649;DNIC-ASBLK-00616-00665, US
AS650;DNIC-ASBLK-00616-00665, US
AS651;DNIC-ASBLK-00616-00665, US
AS652;DNIC-ASBLK-00616-00665, US
AS653;DNIC-ASBLK-00616-00665, US
AS654;DNIC-ASBLK-00616-00665, US
AS655;DNIC-ASBLK-00616-00665, US
AS656;DNIC-ASBLK-00616-00665, US
AS657;DNIC-ASBLK-00616-00665, US
AS658;DNIC-ASBLK-00616-00665, US
AS659;DNIC-ASBLK-00616-00665, US
AS660;DNIC-ASBLK-00616-00665, US
AS661;DNIC-ASBLK-00616-00665, US
AS662;DNIC-ASBLK-00616-00665, US
AS663;DNIC-ASBLK-00616-00665, US
AS664;DNIC-ASBLK-00616-00665, US
AS665;DNIC-ASBLK-00616-00665, US
AS666;CTNOSC-ASN-666, US
AS667;DNIC-AS-00667, US
AS668;DNIC-AS-00668, US
AS669;OFRIR-IP-INTERNET-AS INRIA, EU
AS670;DNIC-AS-00670, US
AS671;DNIC-AS-00671, US
AS672;DNIC-AS-00672, US
AS673;DNIC-AS-00673, US
AS674;BBN-DSI, US
AS675;MSUS-AS, US
AS676;United Nations Development Programme, AR
AS677;ASU-AS, US
AS678;DNIC-AS-00678, US
AS679;TUNET-AS Technische Universitaet Wien, AT
AS680;DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE
AS681;ERX-KAWAIHIKO-1 The University of Waikato, NZ
AS682;AS-ORNL-IGRP1-AS, US
AS683;ARGONNE-AS, US
AS684;MTSAL-ASN, CA
AS685;NTTA-685, US
AS686;OSD-GW-AS, US
AS687;DNIC-AS-00687, US
AS688;RECNET-AS, US
AS689;MERIT-AS-26, US
AS690;MERIT-AS-27, US
AS691;PEINET-AS, CA
AS692;DK-CUROTEC, DK
AS693;NOTRE-DAME-AS, US
AS694;DNIC-AS-00694, US
AS695;SWITCH-TEST1 Zurich, Switzerland, CH
AS696;SWITCH-TEST2 Zurich, Switzerland, CH
AS697;Gesellschaft fuer Mathematik und Datenverarbeitung, EU
AS698;ASN-UIUC-REGION-AS, US
AS699;AMAZON, US
AS700;ROKNET-AS, US
AS701;UUNET, US
AS702;UUNET, US
AS703;UUNET, US
AS704;UUNET, US
AS705;UUNET, US
AS706;TEST-AUSTIN-IBM-AS, US
AS707;ELAN-AS, US
AS708;SB-COMM-AS, US
AS709;UHEY-NET-AS Royal Air Force Base, EU
AS710;BENT-NET-AS Royal Air Base, EU
AS711;SB-COMM-AS, ES
AS712;ALCON-NET-AS Royal Air Base, EU
AS713;AFMPCGW-AS, US
AS714;APPLE-ENGINEERING, US
AS715;WOODYNET-2, US
AS716;DNIC-AS-00716, US
AS717;DNIC-AS-00717, US
AS718;DNIC-AS-00718, US
AS719;ELISA-AS Helsinki, Finland, FI
AS720;WR-LOGDIS-AS, US
AS721;DNIC-ASBLK-00721-00726, US
AS722;DNIC-ASBLK-00721-00726, US
AS723;DNIC-ASBLK-00721-00726, US
AS724;DNIC-ASBLK-00721-00726, US
AS725;DNIC-ASBLK-00721-00726, US
AS726;DNIC-ASBLK-00721-00726, US
AS727;AFCONC-BLOCK2-AS, US
AS728;AFCONC-BLOCK2-AS, US
AS729;AFCONC-BLOCK2-AS, US
AS730;AFCONC-BLOCK2-AS, US
AS731;AFCONC-BLOCK2-AS, US
AS732;AFCONC-BLOCK2-AS, US
AS733;AFCONC-BLOCK2-AS, US
AS734;AFCONC-BLOCK2-AS, US
AS735;AFCONC-BLOCK2-AS, US
AS736;AFCONC-BLOCK2-AS, US
AS737;AFCONC-BLOCK2-AS, US
AS738;AFCONC-BLOCK2-AS, US
